Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Name_id,Year
Kevin Durant,19,SEA,90,545,625,0.872,80,34.6,20.3,4.4,2.4,1,0.9,0.43,0.288,0.873,2.3,0.04,duranke01,2008
Al Horford,21,ATL,30,390,625,0.624,81,31.4,10.1,9.7,1.5,0.7,0.9,0.499,0,0.731,5.5,0.103,horfoal01,2008
Luis Scola,27,HOU,5,146,625,0.234,82,24.7,10.3,6.4,1.3,0.7,0.2,0.515,0,0.668,6.5,0.154,scolalu01,2008
Al Thornton,24,LAC,0,30,625,0.048,79,27.3,12.7,4.5,1.2,0.6,0.5,0.429,0.331,0.743,1.1,0.025,thornal01,2008
Jamario Moon,27,TOR,0,7,625,0.011,78,27.8,8.5,6.2,1.2,1,1.4,0.485,0.328,0.741,5.7,0.126,moonja01,2008
Juan Carlos Navarro,27,MEM,0,3,625,0.005,82,25.8,10.9,2.6,2.2,0.6,0,0.402,0.361,0.849,1.4,0.031,navarju01,2008
Thaddeus Young,19,PHI,0,2,625,0.003,74,21,8.2,4.2,0.8,1,0.1,0.539,0.316,0.738,4.5,0.14,youngth01,2008
Mike Conley,20,MEM,0,1,625,0.002,53,26.1,9.4,2.6,4.2,0.8,0,0.428,0.33,0.732,1.1,0.038,conlemi01,2008
Carl Landry,24,HOU,0,1,625,0.002,42,16.9,8.1,4.9,0.5,0.4,0.2,0.616,0,0.661,3.7,0.251,landrca01,2008
Derrick Rose,20,CHI,111,574,600,0.957,81,37,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,rosede01,2009
O.J. Mayo,21,MEM,5,246,600,0.41,82,38,18.5,3.8,3.2,1.1,0.2,0.438,0.384,0.879,3.4,0.052,mayooj01,2009
Brook Lopez,20,NJN,2,127,600,0.212,82,30.5,13,8.1,1,0.5,1.8,0.531,0,0.793,5.8,0.112,lopezbr01,2009
Russell Westbrook,20,OKC,2,73,600,0.122,82,32.5,15.3,4.9,5.3,1.3,0.2,0.398,0.271,0.815,1.9,0.035,westbru01,2009
Eric Gordon,20,LAC,0,22,600,0.037,78,34.3,16.1,2.6,2.8,1,0.4,0.456,0.389,0.854,4.6,0.082,gordoer01,2009
Kevin Love,20,MIN,0,16,600,0.027,81,25.3,11.1,9.1,1,0.4,0.6,0.459,0.105,0.789,5.3,0.124,loveke01,2009
Michael Beasley,20,MIA,0,7,600,0.012,81,24.8,13.9,5.4,1,0.5,0.5,0.472,0.407,0.772,3.4,0.081,beaslmi01,2009
Marc Gasol,24,MEM,0,4,600,0.007,82,30.7,11.9,7.4,1.7,0.8,1.1,0.53,0,0.733,6.4,0.121,gasolma01,2009
Rudy Fernández,23,POR,0,3,600,0.005,78,25.6,10.4,2.7,2,0.9,0.2,0.425,0.399,0.839,6.1,0.147,fernaru01,2009
Robin Lopez,20,PHO,0,3,600,0.005,60,10.2,3.2,2,0.1,0.2,0.7,0.518,0,0.691,1.1,0.083,lopezro01,2009
Mario Chalmers,22,MIA,0,2,600,0.003,82,32,10,2.8,4.9,2,0.1,0.42,0.367,0.767,5.2,0.095,chalmma01,2009
Courtney Lee,23,ORL,0,2,600,0.003,77,25.2,8.4,2.3,1.2,1,0.2,0.45,0.404,0.83,4.4,0.108,leeco01,2009
Nicolas Batum,20,POR,0,1,600,0.002,79,18.4,5.4,2.8,0.9,0.6,0.5,0.446,0.369,0.808,3.7,0.123,batumni01,2009
Tyreke Evans,20,SAC,67,491,615,0.798,72,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,evansty01,2010
Stephen Curry,21,GSW,43,391,615,0.636,80,36.2,17.5,4.5,5.9,1.9,0.2,0.462,0.437,0.885,4.7,0.077,curryst01,2010
Brandon Jennings,20,MIL,12,204,615,0.332,82,32.6,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.817,4.2,0.075,jennibr01,2010
Darren Collison,22,NOH,1,17,615,0.028,76,27.8,12.4,2.5,5.7,1,0.1,0.477,0.4,0.851,2.9,0.067,collida01,2010
Jonny Flynn,20,MIN,0,2,615,0.003,81,28.9,13.5,2.4,4.4,1,0,0.417,0.358,0.826,0.1,0.002,flynnjo01,2010
Taj Gibson,24,CHI,0,2,615,0.003,82,26.9,9,7.5,0.9,0.6,1.3,0.494,,0.646,4.7,0.103,gibsota01,2010
Blake Griffin,21,LAC,118,590,590,1,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,griffbl01,2011
John Wall,20,WAS,0,295,590,0.5,69,37.8,16.4,4.6,8.3,1.8,0.5,0.409,0.296,0.766,2.2,0.041,walljo01,2011
DeMarcus Cousins,20,SAC,0,81,590,0.137,81,28.5,14.1,8.6,2.5,1,0.8,0.43,0.167,0.687,1.1,0.022,couside01,2011
Landry Fields,22,NYK,0,62,590,0.105,82,31,9.7,6.4,1.9,1,0.2,0.497,0.393,0.769,5.3,0.1,fieldla01,2011
Gary Neal,26,SAS,0,19,590,0.032,80,21.1,9.8,2.5,1.2,0.3,0.1,0.451,0.419,0.808,3.5,0.099,nealga01,2011
Greg Monroe,20,DET,0,15,590,0.025,80,27.8,9.4,7.5,1.3,1.2,0.6,0.551,0,0.622,6.6,0.143,monrogr01,2011
Kyrie Irving,19,CLE,117,592,600,0.987,51,30.5,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,4.1,0.125,irvinky01,2012
Ricky Rubio,21,MIN,0,170,600,0.283,41,34.2,10.6,4.2,8.2,2.2,0.2,0.357,0.34,0.803,2,0.07,rubiori01,2012
Kenneth Faried,22,DEN,1,129,600,0.215,46,22.5,10.2,7.7,0.8,0.7,1,0.586,,0.665,4.6,0.212,farieke01,2012
Kawhi Leonard,20,SAS,1,47,600,0.078,64,24,7.9,5.1,1.1,1.3,0.4,0.493,0.376,0.773,5.5,0.171,leonaka01,2012
Iman Shumpert,21,NYK,1,33,600,0.055,59,28.9,9.5,3.2,2.8,1.7,0.1,0.401,0.306,0.798,2.4,0.068,shumpim01,2012
Klay Thompson,21,GSW,0,30,600,0.05,66,24.4,12.5,2.4,2,0.7,0.3,0.443,0.414,0.868,1.7,0.05,thompkl01,2012
Isaiah Thomas,22,SAC,0,28,600,0.047,65,25.5,11.5,2.6,4.1,0.8,0.1,0.448,0.379,0.832,4.3,0.124,thomais02,2012
Brandon Knight,20,DET,0,21,600,0.035,66,32.3,12.8,3.2,3.8,0.7,0.2,0.415,0.38,0.759,1.3,0.029,knighbr03,2012
Chandler Parsons,23,HOU,0,14,600,0.023,63,28.6,9.5,4.8,2.1,1.2,0.5,0.452,0.337,0.551,3.4,0.09,parsoch01,2012
MarShon Brooks,23,NJN,0,4,600,0.007,56,29.4,12.6,3.6,2.3,0.9,0.3,0.428,0.313,0.764,0.8,0.022,brookma01,2012
Kemba Walker,21,CHA,0,3,600,0.005,66,27.2,12.1,3.5,4.4,0.9,0.3,0.366,0.305,0.789,0.3,0.009,walkeke02,2012
Josh Selby,20,MEM,0,1,600,0.002,28,8.5,2.3,0.5,1.1,0.3,0,0.347,0.133,0.786,-0.5,-0.105,selbyjo01,2012
Damian Lillard,22,POR,121,605,605,1,82,38.6,19,3.1,6.5,0.9,0.2,0.429,0.368,0.844,5.8,0.088,lillada01,2013
Anthony Davis,19,NOH,0,306,605,0.506,64,28.8,13.5,8.2,1,1.2,1.8,0.516,0,0.751,6.1,0.159,davisan02,2013
Bradley Beal,19,WAS,0,94,605,0.155,56,31.2,13.9,3.8,2.4,0.9,0.5,0.41,0.386,0.786,3,0.082,bealbr01,2013
Andre Drummond,19,DET,0,36,605,0.06,60,20.7,7.9,7.6,0.5,1,1.6,0.608,0.5,0.371,4.5,0.172,drumman01,2013
Dion Waiters,21,CLE,0,21,605,0.035,61,28.8,14.7,2.4,3,1,0.3,0.412,0.31,0.746,0.9,0.026,waitedi01,2013
Harrison Barnes,20,GSW,0,8,605,0.013,81,25.4,9.2,4.1,1.2,0.6,0.2,0.439,0.359,0.758,2.8,0.065,barneha02,2013
Chris Copeland,28,NYK,0,8,605,0.013,56,15.4,8.7,2.1,0.5,0.3,0.2,0.479,0.421,0.759,2.1,0.117,copelch01,2013
Michael Kidd-Gilchrist,19,CHA,0,3,605,0.005,78,26,9,5.8,1.5,0.7,0.9,0.458,0.222,0.749,2.1,0.051,kiddgmi01,2013
Jonas Valan?i?nas,20,TOR,0,2,605,0.003,62,23.9,8.9,6,0.7,0.3,1.3,0.557,,0.789,3.9,0.127,valanjo01,2013
John Jenkins,21,ATL,0,1,605,0.002,61,14.8,6.1,1.5,0.9,0.2,0.2,0.446,0.384,0.843,1.7,0.091,jenkijo01,2013
Michael Carter-Williams,22,PHI,104,569,620,0.918,70,34.5,16.7,6.2,6.3,1.9,0.6,0.405,0.264,0.703,1.3,0.026,cartemi01,2014
Victor Oladipo,21,ORL,16,364,620,0.587,80,31.1,13.8,4.1,4.1,1.6,0.5,0.419,0.327,0.78,1.3,0.026,oladivi01,2014
Trey Burke,21,UTA,1,96,620,0.155,70,32.3,12.8,3,5.7,0.6,0.1,0.38,0.33,0.903,0.9,0.02,burketr01,2014
Mason Plumlee,23,BRK,2,58,620,0.094,70,18.2,7.4,4.4,0.9,0.7,0.8,0.659,0,0.626,4.7,0.176,plumlma01,2014
Tim Hardaway Jr.,21,NYK,1,23,620,0.037,81,23.1,10.2,1.5,0.8,0.5,0.1,0.428,0.363,0.828,3.1,0.08,hardati02,2014
Gorgui Dieng,24,MIN,0,3,620,0.005,60,13.6,4.8,5,0.7,0.5,0.8,0.498,1,0.634,2.2,0.129,dienggo01,2014
Steven Adams,20,OKC,0,1,620,0.002,81,14.8,3.3,4.1,0.5,0.5,0.7,0.503,,0.581,2.9,0.114,adamsst01,2014
Giannis Antetokounmpo,19,MIL,0,1,620,0.002,77,24.6,6.8,4.4,1.9,0.8,0.8,0.414,0.347,0.683,1.2,0.031,antetgi01,2014
Nick Calathes,24,MEM,0,1,620,0.002,71,16.5,4.9,1.9,2.9,0.9,0.1,0.457,0.311,0.611,1.5,0.062,calatni01,2014
Andrew Wiggins,19,MIN,110,604,650,0.929,82,36.2,16.9,4.6,2.1,1,0.6,0.437,0.31,0.76,2.1,0.034,wiggian01,2015
Nikola Miroti?,23,CHI,14,335,650,0.515,82,20.2,10.2,4.9,1.2,0.7,0.7,0.405,0.316,0.803,5.7,0.165,mirotni01,2015
Nerlens Noel,20,PHI,3,141,650,0.217,75,30.8,9.9,8.1,1.7,1.8,1.9,0.462,,0.609,4,0.083,noelne01,2015
Elfrid Payton,20,ORL,3,79,650,0.122,82,30.4,8.9,4.3,6.5,1.7,0.2,0.425,0.262,0.551,2.3,0.044,paytoel01,2015
Marcus Smart,20,BOS,0,6,650,0.009,67,27,7.8,3.3,3.1,1.5,0.3,0.367,0.335,0.646,2.9,0.077,smartma01,2015
Jusuf Nurki?,20,DEN,0,3,650,0.005,62,17.8,6.9,6.2,0.8,0.8,1.1,0.446,0,0.636,1.6,0.069,nurkiju01,2015
Jordan Clarkson,22,LAL,0,2,650,0.003,59,25,11.9,3.2,3.5,0.9,0.2,0.448,0.314,0.829,2.4,0.078,clarkjo01,2015
Karl-Anthony Towns,20,MIN,130,650,650,1,82,32,18.3,10.5,2,0.7,1.7,0.542,0.341,0.811,8.3,0.151,townska01,2016
Kristaps Porzi??is,20,NYK,0,363,650,0.558,72,28.4,14.3,7.3,1.3,0.7,1.9,0.421,0.333,0.838,4.4,0.102,porzikr01,2016
Nikola Joki?,20,DEN,0,59,650,0.091,80,21.7,10,7,2.4,1,0.6,0.512,0.333,0.811,6.7,0.185,jokicni01,2016
Devin Booker,19,PHO,0,49,650,0.075,76,27.7,13.8,2.5,2.6,0.6,0.3,0.423,0.343,0.84,1.9,0.043,bookede01,2016
Jahlil Okafor,20,PHI,0,34,650,0.052,53,30,17.5,7,1.2,0.4,1.2,0.508,0.167,0.686,1.2,0.037,okafoja01,2016
Justise Winslow,19,MIA,0,7,650,0.011,78,28.6,6.4,5.2,1.5,0.9,0.3,0.422,0.276,0.684,2.5,0.054,winslju01,2016
Emmanuel Mudiay,19,DEN,0,4,650,0.006,68,30.4,12.8,3.4,5.5,1,0.5,0.364,0.319,0.67,-2.1,-0.049,mudiaem01,2016
Myles Turner,19,IND,0,3,650,0.005,60,22.8,10.3,5.5,0.7,0.4,1.4,0.498,0.214,0.727,3.1,0.109,turnemy01,2016
D'Angelo Russell,19,LAL,0,1,650,0.002,80,28.2,13.2,3.4,3.3,1.2,0.2,0.41,0.351,0.737,0,0.001,russeda01,2016
Malcolm Brogdon,24,MIL,64,414,500,0.828,75,26.4,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,4.1,0.1,brogdma01,2017
Dario Šari?,22,PHI,13,266,500,0.532,81,26.3,12.8,6.3,2.2,0.7,0.4,0.411,0.311,0.782,1,0.023,saricda01,2017
Joel Embiid,22,PHI,23,177,500,0.354,31,25.4,20.2,7.8,2.1,0.9,2.5,0.466,0.367,0.783,1.9,0.117,embiijo01,2017
Buddy Hield,24,TOT,0,21,500,0.042,82,23,10.6,3.3,1.5,0.5,0.1,0.426,0.391,0.842,1.3,0.032,hieldbu01,2017
Willy Hernangómez,22,NYK,0,8,500,0.016,72,18.4,8.2,7,1.3,0.6,0.5,0.529,0.267,0.728,3.4,0.123,hernawi01,2017
Jamal Murray,19,DEN,0,8,500,0.016,82,21.5,9.9,2.6,2.1,0.6,0.3,0.404,0.334,0.883,1.3,0.037,murraja01,2017
Marquese Chriss,19,PHO,0,3,500,0.006,82,21.3,9.2,4.2,0.7,0.8,0.9,0.449,0.321,0.624,1.8,0.05,chrisma01,2017
Jaylen Brown,20,BOS,0,1,500,0.002,78,17.2,6.6,2.8,0.8,0.4,0.2,0.454,0.341,0.685,1.5,0.053,brownja02,2017
Yogi Ferrell,23,TOT,0,1,500,0.002,46,26,10,2.4,3.7,0.9,0.2,0.406,0.386,0.831,1.8,0.072,ferreyo01,2017
Rodney McGruder,25,MIA,0,1,500,0.002,78,25.2,6.4,3.3,1.6,0.6,0.2,0.413,0.332,0.62,2.9,0.072,mcgruro01,2017
Ben Simmons,21,PHI,90,481,505,0.952,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0,0.56,9.2,0.162,simmobe01,2018
Donovan Mitchell,21,UTA,11,323,505,0.64,79,33.4,20.5,3.7,3.7,1.5,0.3,0.437,0.34,0.805,5.2,0.095,mitchdo01,2018
Jayson Tatum,19,BOS,0,101,505,0.2,80,30.5,13.9,5,1.6,1,0.7,0.475,0.434,0.826,7.1,0.139,tatumja01,2018
Kyle Kuzma,22,LAL,0,3,505,0.006,77,31.2,16.1,6.3,1.8,0.6,0.4,0.45,0.366,0.707,3.8,0.077,kuzmaky01,2018
Dennis Smith Jr.,20,DAL,0,1,505,0.002,69,29.7,15.2,3.8,5.2,1,0.3,0.395,0.313,0.694,-0.7,-0.017,smithde03,2018
Luka Don?i?,19,DAL,98,496,500,0.992,72,32.2,21.2,7.8,6,1.1,0.3,0.427,0.327,0.713,4.9,0.101,doncilu01,2019
Trae Young,20,ATL,2,301,500,0.602,81,30.9,19.1,3.7,8.1,0.9,0.2,0.418,0.324,0.829,3.3,0.062,youngtr01,2019
Deandre Ayton,20,PHO,0,66,500,0.132,71,30.7,16.3,10.3,1.8,0.9,0.9,0.585,0,0.746,5.8,0.128,aytonde01,2019
Jaren Jackson Jr.,19,MEM,0,12,500,0.024,58,26.1,13.8,4.7,1.1,0.9,1.4,0.506,0.359,0.766,3.3,0.105,jacksja02,2019
Collin Sexton,20,CLE,0,10,500,0.02,82,31.8,16.7,2.9,3,0.5,0.1,0.43,0.402,0.839,-0.6,-0.011,sextoco01,2019
Shai Gilgeous-Alexander,20,LAC,0,7,500,0.014,82,26.5,10.8,2.8,3.3,1.2,0.5,0.476,0.367,0.8,3.3,0.074,gilgesh01,2019
Marvin Bagley III,19,SAC,0,6,500,0.012,62,25.3,14.9,7.6,1,0.5,1,0.504,0.313,0.691,3.6,0.11,baglema01,2019
Josh Okogie,20,MIN,0,1,500,0.002,74,23.7,7.7,2.9,1.2,1.2,0.4,0.386,0.279,0.728,1.2,0.034,okogijo01,2019
Mitchell Robinson,20,NYK,0,1,500,0.002,66,20.6,7.3,6.4,0.6,0.8,2.4,0.694,,0.6,6.1,0.217,robinmi01,2019
Ja Morant,20,MEM,99,498,500,0.996,67,31,17.8,3.9,7.3,0.9,0.3,0.477,0.335,0.776,3.8,0.088,moranja01,2020
Kendrick Nunn,24,MIA,0,204,500,0.408,67,29.3,15.3,2.7,3.3,0.8,0.2,0.439,0.35,0.85,2,0.049,nunnke01,2020
Zion Williamson,19,NOP,1,140,500,0.28,24,27.8,22.5,6.3,2.1,0.7,0.4,0.583,0.429,0.64,2,0.141,willizi01,2020
Brandon Clarke,23,MEM,0,50,500,0.1,58,22.4,12.1,5.9,1.4,0.6,0.8,0.618,0.359,0.759,5,0.183,clarkbr01,2020
Coby White,19,CHI,0,3,500,0.006,65,25.8,13.2,3.5,2.7,0.8,0.1,0.394,0.354,0.791,0.9,0.026,whiteco01,2020
Terence Davis,22,TOR,0,2,500,0.004,72,16.8,7.5,3.3,1.6,0.5,0.2,0.456,0.388,0.864,3.1,0.122,daviste02,2020
Eric Paschall,23,GSW,0,2,500,0.004,60,27.6,14,4.6,2.1,0.5,0.2,0.497,0.287,0.774,2.1,0.062,pascher01,2020
RJ Barrett,19,NYK,0,1,500,0.002,56,30.4,14.3,5,2.6,1,0.3,0.402,0.32,0.614,-0.5,-0.015,barrerj01,2020
LaMelo Ball,19,CHO,84,465,495,0.939,51,28.8,15.7,5.9,6.1,1.6,0.4,0.436,0.352,0.758,2.8,0.093,ballla01,2021
Anthony Edwards,19,MIN,15,309,495,0.624,72,32.1,19.3,4.7,2.9,1.1,0.5,0.417,0.329,0.776,0.8,0.017,edwaran01,2021
Tyrese Haliburton,20,SAC,0,114,495,0.23,58,30.1,13,3,5.3,1.3,0.5,0.472,0.409,0.857,3.5,0.096,halibty01,2021
Saddiq Bey,21,DET,0,3,495,0.006,70,27.3,12.2,4.5,1.4,0.7,0.2,0.404,0.38,0.844,3.3,0.082,beysa01,2021
Scottie Barnes,20,TOR,48,378,500,0.756,74,35.4,15.3,7.5,3.5,1.1,0.7,0.492,0.301,0.735,6.6,0.122,barnesc01,2022
Evan Mobley,20,CLE,43,363,500,0.726,69,33.8,15,8.3,2.5,0.8,1.7,0.508,0.25,0.663,5.2,0.107,mobleev01,2022
Cade Cunningham,20,DET,9,153,500,0.306,64,32.6,17.4,5.5,5.6,1.2,0.7,0.416,0.314,0.845,-0.5,-0.011,cunnica01,2022
Jalen Green,19,HOU,0,3,500,0.006,67,31.9,17.3,3.4,2.6,0.7,0.3,0.426,0.343,0.797,0.7,0.015,greenja05,2022
Franz Wagner,20,ORL,0,2,500,0.004,79,30.7,15.2,4.5,2.9,0.9,0.4,0.468,0.354,0.863,4,0.079,wagnefr01,2022
Herbert Jones,23,NOP,0,1,500,0.002,78,29.9,9.5,3.8,2.1,1.7,0.8,0.476,0.337,0.84,4.6,0.096,joneshe01,2022
